Fecha,Mexico,US,Internacional
40414,31364.89063,1364.925007,482.8262459
40415,31453.7207,1375.524986,484.952374
40416,31217.99023,1375.461369,487.2868669
40417,31755.34961,1392.599533,496.12824
40420,31382.66992,1384.931784,494.7406068
40421,31679.84961,1390.934454,495.8283332
40422,32339.23047,1416.173053,507.7906059
40423,32417.33008,1426.831993,508.977687
40424,32592.86914,1434.362137,510.5444629
40428,32448.40039,1431.690071,507.5683339
40429,32409.59961,1439.415222,510.920017
40430,32518.98047,1442.292734,514.008577
40431,32626.86914,1440.433119,511.8008229
40434,32921.62891,1449.353773,519.2060529
40435,33058,1445.862776,520.71595
40436,33046.69141,1446.067066,518.9370656
40437,33046.69141,1444.892088,516.8636272
40438,33046.69141,1437.509684,514.7381072
40441,33273.53125,1459.261157,523.2181628
40442,33296.69141,1448.343898,519.84337
40443,33207.21094,1432.154315,515.5604353
40444,33091.12891,1422.3375,511.4093626
40445,33280.75,1441.10582,519.2348574
40448,33122.44141,1436.488132,518.0508974
40449,33258.53125,1431.769595,518.41872
40450,33186.76172,1434.881463,519.8264625
40451,33330.33984,1437.353182,521.0137674
40452,33807.48047,1436.407143,523.50341
40455,34040.17188,1434.95625,521.1256626
40456,34257.39844,1447.018812,528.3538875
40457,34370.64063,1446.662028,532.13424
40458,34257.80859,1454.998937,533.8386
